,id,model,participant,prompt,target,predicted,src,total_tokens,proportion
0,motesf_spoon-4034,gpt3-babbage,motesfd709,spoon,2.7,3.0,motesf,25,0.4
0,betal18_box-ce81,gpt3-babbage,betal182084,box,1.6,2.0,betal18,17,0.4
0,hmsl_brick-2136,gpt3-babbage,hmsl5yhjjPmZ,brick,2.7,1.8,hmsl,19,0.4
0,snb17_rope-1e94,gpt3-babbage,snb1795,rope,2.3,1.9,snb17,17,0.4
0,snbmo09_brick-90ef,gpt3-babbage,snbmo0958,brick,1.7000000000000002,2.2,snbmo09,15,0.4
0,snb17_box-0514,gpt3-babbage,snb17111,box,1.6,1.0,snb17,15,0.4
0,motesf_bottle-4435,gpt3-babbage,motesfbc6d,bottle,3.2,4.3,motesf,16,0.4
0,bs12_brick-8d06,gpt3-babbage,bs1217,brick,1.0,1.7,bs12,19,0.4
0,motesf_ball-843b,gpt3-babbage,motesf3fe9,ball,5.0,3.6,motesf,63,0.4
0,snb17_box-d337,gpt3-babbage,snb1781,box,2.0,1.3,snb17,17,0.4
0,dod20_shovel-37ba,gpt3-babbage,dod2056,shovel,3.0,2.5,dod20,23,0.4
0,betal18_box-4188,gpt3-babbage,betal182100,box,2.7,2.0,betal18,18,0.4
0,betal18_box-6d47,gpt3-babbage,betal182071,box,2.3,2.3,betal18,13,0.4
0,hmsl_brick-414b,gpt3-babbage,hmslA04NGLXd,brick,1.5,1.0,hmsl,17,0.4
0,betal18_rope-78f6,gpt3-babbage,betal182007,rope,3.0,2.0,betal18,15,0.4
0,motesf_pencil-a34b,gpt3-babbage,motesf7e77,pencil,3.0,3.0,motesf,19,0.4
0,betal18_box-bb13,gpt3-babbage,betal182030,box,2.1,2.7,betal18,15,0.4
0,dod20_table-6457,gpt3-babbage,dod2040,table,2.0,2.5,dod20,22,0.4
0,setal08_brick-f446,gpt3-babbage,setal08177,brick,1.0,1.0,setal08,16,0.4
0,hmsl_brick-c1e2,gpt3-babbage,hmsl737W95CH,brick,1.5,1.5,hmsl,19,0.4
0,snbmo09_box-35c1,gpt3-babbage,snbmo094,box,2.7,3.3,snbmo09,23,0.4
0,motesf_hat-122d,gpt3-babbage,motesf3ef8,hat,2.7,2.7,motesf,20,0.4
0,motesf_ball-f81a,gpt3-babbage,motesffa7c,ball,1.6,1.9,motesf,32,0.4
0,snbmo09_brick-a464,gpt3-babbage,snbmo09133,brick,2.8,2.0,snbmo09,19,0.4
0,betal18_box-f422,gpt3-babbage,betal182092,box,1.9,2.0,betal18,15,0.4
0,dod20_shovel-5216,gpt3-babbage,dod2022,shovel,2.8,3.0,dod20,16,0.4
0,setal08_knife-46de,gpt3-babbage,setal08190,knife,1.7000000000000002,1.3,setal08,18,0.4
0,dod20_pants-a6b1,gpt3-babbage,dod2083,pants,3.8,4.0,dod20,15,0.4
0,motesp-g1_lightbulb-33RM,gpt3-babbage,33RM,lightbulb,3.0,3.6,motesp,42,0.4
0,motesf_ball-ba51,gpt3-babbage,motesfa4a0,ball,2.1,1.9,motesf,15,0.4
0,betal18_box-cf5d,gpt3-babbage,betal182181,box,1.1,1.3,betal18,13,0.4
0,hmsl_brick-b948,gpt3-babbage,hmslPfZkRQMq,brick,3.7,3.0,hmsl,22,0.4
0,dod20_table-bd4f,gpt3-babbage,dod2025,table,1.5,1.2,dod20,18,0.4
0,motesf_ball-5924,gpt3-babbage,motesfef0d,ball,3.6,3.3,motesf,39,0.4
0,betal18_box-8fea,gpt3-babbage,betal182123,box,1.9,2.0,betal18,14,0.4
0,dod20_pants-ef5b,gpt3-babbage,dod2056,pants,2.3,3.0,dod20,17,0.4
0,betal18_rope-1967,gpt3-babbage,betal182184,rope,1.0,1.3,betal18,16,0.4
0,snb17_rope-1181,gpt3-babbage,snb1798,rope,1.3,1.7,snb17,15,0.4
0,hmsl_brick-3f90,gpt3-babbage,hmslD0oEDjkj,brick,1.5,1.5,hmsl,16,0.4
0,betal18_rope-1f3c,gpt3-babbage,betal182107,rope,1.9,2.1,betal18,15,0.4
0,bs12_brick-5055,gpt3-babbage,bs1229,brick,3.4,3.0,bs12,34,0.4
0,hmsl_brick-2664,gpt3-babbage,hmslEO5hLP9v,brick,2.2,1.7,hmsl,25,0.4
0,bs12_brick-5bdd,gpt3-babbage,bs12114,brick,1.8,1.4,bs12,16,0.4
0,hmsl_brick-6ef7,gpt3-babbage,hmslE3P4df3m,brick,2.0,2.3,hmsl,16,0.4
0,snbmo09_box-0bc4,gpt3-babbage,snbmo09122,box,1.8,2.3,snbmo09,16,0.4
0,snbmo09_knife-50bc,gpt3-babbage,snbmo09190,knife,1.0,1.0,snbmo09,15,0.4
0,snb17_box-5647,gpt3-babbage,snb17138,box,1.9,2.3,snb17,14,0.4
0,hmsl_paperclip-278b,gpt3-babbage,hmslMXicONTd,paperclip,2.7,2.7,hmsl,16,0.4
0,dod20_book-46c5,gpt3-babbage,dod2027,book,1.2,1.0,dod20,14,0.4
0,motesf_pencil-fd96,gpt3-babbage,motesff717,pencil,3.3,3.0,motesf,19,0.4
0,dod20_book-5891,gpt3-babbage,dod2077,book,1.3,1.8,dod20,15,0.4
0,setal08_brick-7953,gpt3-babbage,setal08176,brick,2.3,3.0,setal08,19,0.4
0,setal08_brick-2840,gpt3-babbage,setal08113,brick,1.3,2.3,setal08,16,0.4
0,snb17_box-a7c4,gpt3-babbage,snb1747,box,1.0,1.0,snb17,19,0.4
0,bs12_brick-fe4f,gpt3-babbage,bs1274,brick,3.4,2.3,bs12,24,0.4
0,betal18_rope-f572,gpt3-babbage,betal182072,rope,2.4,3.0,betal18,16,0.4
0,snb17_box-c257,gpt3-babbage,snb171,box,1.3,1.6,snb17,14,0.4
0,bs12_brick-71af,gpt3-babbage,bs1259,brick,1.0,1.0,bs12,19,0.4
0,motesf_ball-9261,gpt3-babbage,motesf53c3,ball,3.0,2.7,motesf,27,0.4
0,hmsl_brick-0821,gpt3-babbage,hmslCg25X24o,brick,2.0,1.7,hmsl,16,0.4
0,setal08_brick-ccd5,gpt3-babbage,setal0867,brick,1.7000000000000002,2.0,setal08,15,0.4
0,setal08_knife-2f81,gpt3-babbage,setal08117,knife,2.7,2.0,setal08,21,0.4
0,dod20_pants-d4e5,gpt3-babbage,dod2062,pants,1.2,1.0,dod20,15,0.4
0,motesf_pencil-a4d2,gpt3-babbage,motesf1429,pencil,2.7,3.0,motesf,22,0.4
0,motesf_bottle-6610,gpt3-babbage,motesffc49,bottle,2.1,2.1,motesf,17,0.4
0,motesf_pencil-9b9a,gpt3-babbage,motesf69ad,pencil,2.4,2.7,motesf,29,0.4
0,motesp-g1_spoon-31MB,gpt3-babbage,31MB,spoon,3.2,3.3,motesp,26,0.4
0,betal18_rope-c21a,gpt3-babbage,betal182170,rope,1.6,1.6,betal18,16,0.4
0,bs12_brick-faea,gpt3-babbage,bs1263,brick,1.0,1.7,bs12,19,0.4
0,dod20_pants-9470,gpt3-babbage,dod2063,pants,3.2,2.3,dod20,15,0.4
0,setal08_brick-6b1a,gpt3-babbage,setal08167,brick,1.7000000000000002,1.7,setal08,17,0.4
0,snbmo09_box-316b,gpt3-babbage,snbmo0998,box,2.2,2.3,snbmo09,19,0.4
0,dod20_shovel-f035,gpt3-babbage,dod2069,shovel,1.8,2.5,dod20,16,0.4
0,snbmo09_knife-7bca,gpt3-babbage,snbmo09200,knife,2.5,1.7,snbmo09,21,0.4
0,snbmo09_knife-271e,gpt3-babbage,snbmo09125,knife,2.0,2.3,snbmo09,14,0.4
0,motesf_hat-61ad,gpt3-babbage,motesf9b86,hat,2.4,2.4,motesf,20,0.4
0,dod20_pants-4038,gpt3-babbage,dod2082,pants,1.0,1.0,dod20,16,0.4
0,snbmo09_box-685d,gpt3-babbage,snbmo0961,box,3.0,1.7,snbmo09,19,0.4
0,snb17_rope-782f,gpt3-babbage,snb17112,rope,1.3,1.3,snb17,17,0.4
0,hmsl_brick-48ef,gpt3-babbage,hmsl4dUr6hnh,brick,2.5,1.5,hmsl,17,0.4
0,setal08_knife-499d,gpt3-babbage,setal08228,knife,1.3,1.7,setal08,15,0.4
0,setal08_knife-8669,gpt3-babbage,setal08218,knife,2.3,1.7,setal08,16,0.4
0,dod20_shovel-1100,gpt3-babbage,dod2027,shovel,2.5,2.5,dod20,27,0.4
0,bs12_brick-365b,gpt3-babbage,bs1235,brick,3.0,2.0,bs12,21,0.4
0,hmsl_paperclip-c2e7,gpt3-babbage,hmsl9mlyecrJ,paperclip,1.0,2.0,hmsl,22,0.4
0,snbmo09_brick-d168,gpt3-babbage,snbmo09116,brick,3.7,3.0,snbmo09,26,0.4
0,snbmo09_brick-909f,gpt3-babbage,snbmo0956,brick,1.5,1.7,snbmo09,22,0.4
0,betal18_box-aabd,gpt3-babbage,betal182058,box,1.3,1.3,betal18,17,0.4
0,bs12_brick-7fce,gpt3-babbage,bs12132,brick,2.2,2.0,bs12,33,0.4
0,dod20_tire-cda1,gpt3-babbage,dod2058,tire,3.0,3.8,dod20,20,0.4
0,bs12_brick-a97e,gpt3-babbage,bs1286,brick,3.4,2.0,bs12,21,0.4
0,dod20_tire-c2cc,gpt3-babbage,dod2073,tire,2.8,3.0,dod20,16,0.4
0,setal08_knife-0083,gpt3-babbage,setal08181,knife,2.3,1.7,setal08,16,0.4
0,snb17_rope-07ae,gpt3-babbage,snb17106,rope,2.0,2.0,snb17,24,0.4
0,motesf_lightbulb-f0a5,gpt3-babbage,motesf140f,lightbulb,2.4,2.4,motesf,22,0.4
0,snbmo09_brick-1c23,gpt3-babbage,snbmo0918,brick,2.3,2.3,snbmo09,26,0.4
0,motesp-g1_ball-28JB,gpt3-babbage,28JB,ball,2.8,2.1,motesp,18,0.4
0,snbmo09_brick-f77c,gpt3-babbage,snbmo09163,brick,3.5,3.0,snbmo09,15,0.4
0,snb17_rope-b290,gpt3-babbage,snb17126,rope,1.2,1.3,snb17,15,0.4
0,bs12_brick-951d,gpt3-babbage,bs1264,brick,3.0,4.2,bs12,23,0.4
0,bs12_brick-ad48,gpt3-babbage,bs1259,brick,1.0,1.0,bs12,18,0.4
0,setal08_brick-66ac,gpt3-babbage,setal08164,brick,1.7000000000000002,3.4,setal08,21,0.4
0,motesf_sock-b455,gpt3-babbage,motesf8efb,sock,2.4,3.3,motesf,27,0.4
0,bs12_brick-e5d3,gpt3-babbage,bs121,brick,1.4,1.4,bs12,14,0.4
0,betal18_rope-3d5f,gpt3-babbage,betal182120,rope,1.9,2.1,betal18,16,0.4
0,motesf_spoon-59d1,gpt3-babbage,motesf8d3b,spoon,3.9,3.3,motesf,19,0.4
0,setal08_knife-bf5e,gpt3-babbage,setal08114,knife,1.3,2.0,setal08,15,0.4
0,dod20_table-f338,gpt3-babbage,dod2047,table,3.8,1.5,dod20,15,0.4
0,snbmo09_brick-b7c5,gpt3-babbage,snbmo09117,brick,2.0,3.0,snbmo09,25,0.4
0,bs12_brick-c95f,gpt3-babbage,bs1271,brick,1.0,2.0,bs12,17,0.4
0,hmsl_paperclip-5f75,gpt3-babbage,hmsl3N1tv1g7,paperclip,3.2,2.5,hmsl,20,0.4
0,dod20_tire-8fe3,gpt3-babbage,dod2082,tire,1.8,2.3,dod20,18,0.4
0,betal18_rope-d2b8,gpt3-babbage,betal182083,rope,1.3,2.7,betal18,17,0.4
0,betal18_rope-5160,gpt3-babbage,betal182162,rope,1.6,1.7,betal18,15,0.4
0,motesf_ball-99c6,gpt3-babbage,motesfd645,ball,3.0,3.3,motesf,13,0.4
0,betal18_rope-f6af,gpt3-babbage,betal182099,rope,1.0,1.0,betal18,16,0.4
0,snbmo09_knife-f1f1,gpt3-babbage,snbmo09190,knife,1.0,1.0,snbmo09,15,0.4
0,hmsl_brick-6bb2,gpt3-babbage,hmsl6FgikCA8,brick,1.0,1.0,hmsl,19,0.4
0,snbmo09_knife-85eb,gpt3-babbage,snbmo0942,knife,2.0,2.3,snbmo09,16,0.4
0,betal18_box-cc04,gpt3-babbage,betal182059,box,2.3,1.9,betal18,14,0.4
0,dod20_pants-a38d,gpt3-babbage,dod2090,pants,2.2,2.5,dod20,17,0.4
0,snbmo09_brick-99e4,gpt3-babbage,snbmo09155,brick,1.5,1.0,snbmo09,17,0.4
0,dod20_pants-700a,gpt3-babbage,dod2052,pants,3.2,3.2,dod20,16,0.4
0,snb17_box-92d8,gpt3-babbage,snb1794,box,2.3,2.0,snb17,20,0.4
0,motesf_ball-7cc2,gpt3-babbage,motesff340,ball,1.6,1.6,motesf,19,0.4
0,hmsl_paperclip-67f7,gpt3-babbage,hmslV8mxLJpC,paperclip,3.8,2.5,hmsl,24,0.4
0,bs12_brick-d71b,gpt3-babbage,bs1224,brick,1.0,1.3,bs12,16,0.4
0,dod20_bottle-3943,gpt3-babbage,dod2054,bottle,2.8,3.0,dod20,18,0.4
0,hmsl_brick-1473,gpt3-babbage,hmsl4evEspH2,brick,1.3,1.3,hmsl,15,0.4
0,bs12_brick-af91,gpt3-babbage,bs1233,brick,1.4,2.2,bs12,16,0.4
0,dod20_bottle-3cd3,gpt3-babbage,dod2032,bottle,1.8,1.8,dod20,15,0.4
0,snbmo09_box-f37f,gpt3-babbage,snbmo0974,box,1.0,1.0,snbmo09,14,0.4
0,dod20_shoe-ca1b,gpt3-babbage,dod2055,shoe,4.0,4.0,dod20,14,0.4
0,setal08_brick-3876,gpt3-babbage,setal0830,brick,1.0,1.0,setal08,15,0.4
0,dod20_book-e527,gpt3-babbage,dod208,book,3.0,3.0,dod20,16,0.4
0,dod20_book-711f,gpt3-babbage,dod2048,book,2.7,2.5,dod20,15,0.4
0,snbmo09_box-4735,gpt3-babbage,snbmo09184,box,2.0,1.8,snbmo09,17,0.4
0,dod20_table-b0d9,gpt3-babbage,dod2015,table,2.5,2.5,dod20,17,0.4
0,motesf_bottle-7171,gpt3-babbage,motesf138b,bottle,3.0,3.0,motesf,26,0.4
0,dod20_tire-9583,gpt3-babbage,dod2027,tire,2.7,3.0,dod20,22,0.4
0,bs12_brick-a1de,gpt3-babbage,bs1259,brick,1.4,1.4,bs12,22,0.4
0,bs12_brick-878c,gpt3-babbage,bs126,brick,1.4,1.4,bs12,17,0.4
0,motesf_sock-795c,gpt3-babbage,motesfa666,sock,3.6,2.7,motesf,23,0.4
0,betal18_rope-1d56,gpt3-babbage,betal182155,rope,1.3,1.3,betal18,17,0.4
0,hmsl_brick-0156,gpt3-babbage,hmsl9DATQk19,brick,2.0,1.8,hmsl,20,0.4
0,motesp-g1_shoe-24ES,gpt3-babbage,24ES,shoe,3.7,3.3,motesp,22,0.4
0,hmsl_paperclip-f832,gpt3-babbage,hmsl2Xywd76Z,paperclip,1.5,2.0,hmsl,16,0.4
0,snb17_rope-b9e0,gpt3-babbage,snb1780,rope,1.0,1.7,snb17,19,0.4
0,dod20_fork-f7b0,gpt3-babbage,dod2073,fork,1.8,2.8,dod20,15,0.4
0,snb17_box-4cf2,gpt3-babbage,snb1798,box,1.0,1.3,snb17,13,0.4
0,dod20_fork-c418,gpt3-babbage,dod2018,fork,3.0,3.5,dod20,16,0.4
0,dod20_fork-a66a,gpt3-babbage,dod2013,fork,2.0,1.7,dod20,13,0.4
0,dod20_bottle-a7cc,gpt3-babbage,dod2088,bottle,1.0,1.8,dod20,15,0.4
0,snbmo09_knife-2c1f,gpt3-babbage,snbmo0995,knife,1.2,1.3,snbmo09,15,0.4
0,hmsl_paperclip-95e1,gpt3-babbage,hmslK883nL64,paperclip,1.8,2.0,hmsl,15,0.4
0,bs12_brick-59c3,gpt3-babbage,bs1260,brick,1.0,1.7,bs12,17,0.4
0,setal08_knife-2a23,gpt3-babbage,setal08134,knife,1.7000000000000002,2.3,setal08,20,0.4
0,snb17_rope-4dbd,gpt3-babbage,snb17101,rope,2.7,2.7,snb17,15,0.4
0,setal08_knife-19ab,gpt3-babbage,setal0833,knife,2.3,1.7,setal08,15,0.4
0,snbmo09_box-35e9,gpt3-babbage,snbmo09171,box,1.2,1.0,snbmo09,14,0.4
0,dod20_book-7bb5,gpt3-babbage,dod2089,book,2.8,2.7,dod20,14,0.4
0,bs12_brick-0996,gpt3-babbage,bs1295,brick,2.2,1.7,bs12,15,0.4
0,snb17_rope-df3f,gpt3-babbage,snb17117,rope,1.3,2.0,snb17,17,0.4
0,snbmo09_box-93d4,gpt3-babbage,snbmo0946,box,1.5,1.3,snbmo09,17,0.4
0,motesf_toothbrush-0396,gpt3-babbage,motesf819f,toothbrush,3.9,3.6,motesf,16,0.4
0,betal18_box-3740,gpt3-babbage,betal182123,box,1.3,1.7,betal18,14,0.4
0,betal18_box-b5d2,gpt3-babbage,betal182117,box,2.7,2.0,betal18,27,0.4
0,motesf_bottle-8366,gpt3-babbage,motesf577e,bottle,2.7,3.3,motesf,14,0.4
0,bs12_brick-ec52,gpt3-babbage,bs1222,brick,1.0,1.0,bs12,16,0.4
0,snbmo09_knife-2716,gpt3-babbage,snbmo0971,knife,2.0,1.7,snbmo09,14,0.4
0,motesf_toothbrush-2461,gpt3-babbage,motesfc16a,toothbrush,4.1,3.6,motesf,30,0.4
0,setal08_knife-3602,gpt3-babbage,setal0892,knife,3.0,3.0,setal08,18,0.4
0,dod20_pants-044a,gpt3-babbage,dod2069,pants,2.3,2.5,dod20,15,0.4
0,motesf_spoon-1d94,gpt3-babbage,motesfb1a5,spoon,3.3,2.7,motesf,24,0.4
0,motesf_hat-5fc7,gpt3-babbage,motesf274a,hat,2.7,2.1,motesf,16,0.4
0,betal18_rope-e9e5,gpt3-babbage,betal182126,rope,2.1,2.7,betal18,16,0.4
0,dod20_bottle-c520,gpt3-babbage,dod2053,bottle,3.0,3.3,dod20,15,0.4
0,hmsl_brick-890b,gpt3-babbage,hmsl0n661va4,brick,1.3,1.0,hmsl,15,0.4
0,snbmo09_box-3ad0,gpt3-babbage,snbmo0974,box,3.3,2.0,snbmo09,16,0.4
0,betal18_rope-f13a,gpt3-babbage,betal182047,rope,3.6,1.9,betal18,15,0.4
0,snb17_rope-2da6,gpt3-babbage,snb17106,rope,1.3,1.0,snb17,19,0.4
0,snb17_box-d6bb,gpt3-babbage,snb1794,box,1.7000000000000002,1.3,snb17,14,0.4
0,bs12_brick-8b38,gpt3-babbage,bs1265,brick,1.4,1.7,bs12,15,0.4
0,dod20_pants-4d20,gpt3-babbage,dod2062,pants,4.3,3.2,dod20,16,0.4
0,snb17_rope-e0e1,gpt3-babbage,snb17104,rope,1.5,1.7,snb17,15,0.4
0,motesf_lightbulb-ad29,gpt3-babbage,motesfa3f3,lightbulb,1.6,1.6,motesf,21,0.4
0,snbmo09_knife-3cc5,gpt3-babbage,snbmo0974,knife,2.0,2.0,snbmo09,18,0.4
0,bs12_brick-3885,gpt3-babbage,bs1228,brick,3.4,2.2,bs12,23,0.4
0,motesf_bottle-9cd3,gpt3-babbage,motesf158f,bottle,1.6,1.6,motesf,19,0.4
0,dod20_fork-855c,gpt3-babbage,dod2062,fork,2.8,2.5,dod20,18,0.4
0,dod20_bottle-2c83,gpt3-babbage,dod2052,bottle,1.3,1.0,dod20,18,0.4
0,dod20_shovel-0233,gpt3-babbage,dod2056,shovel,2.5,3.0,dod20,15,0.4
0,bs12_brick-646b,gpt3-babbage,bs1259,brick,1.4,1.8,bs12,19,0.4
0,betal18_box-f3f1,gpt3-babbage,betal182073,box,1.9,1.3,betal18,14,0.4
0,dod20_bottle-754c,gpt3-babbage,dod2060,bottle,2.0,1.5,dod20,14,0.4
0,dod20_brick-abb9,gpt3-babbage,dod209,brick,1.0,1.0,dod20,15,0.4
0,betal18_box-e414,gpt3-babbage,betal182050,box,1.9,3.0,betal18,14,0.4
0,hmsl_brick-0235,gpt3-babbage,hmsl0x135kJT,brick,1.7000000000000002,1.4,hmsl,16,0.4
0,setal08_knife-503c,gpt3-babbage,setal08172,knife,1.7000000000000002,1.3,setal08,14,0.4
0,hmsl_brick-8e6c,gpt3-babbage,hmsl517P11oo,brick,1.3,1.0,hmsl,18,0.4
0,snbmo09_knife-9b02,gpt3-babbage,snbmo0985,knife,2.0,1.7,snbmo09,16,0.4
0,snb17_rope-c0f8,gpt3-babbage,snb17141,rope,3.0,2.4,snb17,17,0.4
0,bs12_brick-92de,gpt3-babbage,bs1275,brick,1.8,3.4,bs12,30,0.4
0,betal18_box-6517,gpt3-babbage,betal182106,box,1.0,1.3,betal18,17,0.4
0,betal18_rope-e614,gpt3-babbage,betal182159,rope,1.6,2.1,betal18,16,0.4
0,hmsl_brick-66c3,gpt3-babbage,hmslw07hiE91,brick,1.3,1.0,hmsl,18,0.4
0,hmsl_brick-92a8,gpt3-babbage,hmsl55kB7oGZ,brick,1.8,1.7,hmsl,15,0.4
0,hmsl_brick-c94c,gpt3-babbage,hmslUwVX4qx3,brick,1.5,1.0,hmsl,16,0.4
0,motesf_spoon-4059,gpt3-babbage,motesf735b,spoon,2.4,3.0,motesf,24,0.4
0,hmsl_paperclip-c956,gpt3-babbage,hmslIJcWIf8K,paperclip,3.2,3.0,hmsl,18,0.4
0,dod20_brick-24f4,gpt3-babbage,dod2023,brick,1.4,1.3,dod20,16,0.4
0,betal18_rope-a648,gpt3-babbage,betal182125,rope,3.0,2.7,betal18,18,0.4
0,betal18_rope-bc40,gpt3-babbage,betal182007,rope,1.0,2.0,betal18,16,0.4
0,betal18_box-f387,gpt3-babbage,betal182079,box,1.0,1.0,betal18,13,0.4
0,setal08_brick-7728,gpt3-babbage,setal08195,brick,2.7,4.2,setal08,16,0.4
0,hmsl_paperclip-294d,gpt3-babbage,hmslVbp87P2F,paperclip,1.7000000000000002,2.5,hmsl,16,0.4
0,hmsl_brick-bec5,gpt3-babbage,hmsltcw0dt93,brick,1.8,1.5,hmsl,18,0.4
0,hmsl_paperclip-6fa7,gpt3-babbage,hmslls85DI0O,paperclip,1.0,1.0,hmsl,17,0.4
0,dod20_bottle-b002,gpt3-babbage,dod2091,bottle,1.8,1.0,dod20,15,0.4
0,setal08_knife-6e1a,gpt3-babbage,setal0865,knife,3.3,3.3,setal08,26,0.4
0,setal08_brick-27c8,gpt3-babbage,setal0873,brick,2.1,1.7,setal08,16,0.4
0,setal08_knife-1b0f,gpt3-babbage,setal08161,knife,1.3,1.3,setal08,17,0.4
0,betal18_box-af2b,gpt3-babbage,betal182030,box,1.3,1.3,betal18,14,0.4
0,snbmo09_brick-15cc,gpt3-babbage,snbmo0984,brick,1.5,2.0,snbmo09,19,0.4
0,hmsl_paperclip-81d4,gpt3-babbage,hmsliR7JwQyj,paperclip,1.0,1.0,hmsl,19,0.4
0,setal08_brick-c964,gpt3-babbage,setal08186,brick,1.7000000000000002,2.2,setal08,17,0.4
0,dod20_shovel-3b96,gpt3-babbage,dod2053,shovel,3.7,2.5,dod20,16,0.4
0,setal08_knife-16f9,gpt3-babbage,setal0874,knife,2.0,1.7,setal08,18,0.4
0,motesf_sock-438a,gpt3-babbage,motesfc3e8,sock,2.7,2.7,motesf,18,0.4
0,bs12_brick-85ae,gpt3-babbage,bs1219,brick,1.3,1.5,bs12,17,0.4
0,snbmo09_box-c582,gpt3-babbage,snbmo0918,box,2.2,2.0,snbmo09,15,0.4
0,motesf_sock-8205,gpt3-babbage,motesf53c3,sock,3.0,4.1,motesf,43,0.4
0,betal18_box-860b,gpt3-babbage,betal182058,box,2.4,3.0,betal18,15,0.4
0,snbmo09_box-e965,gpt3-babbage,snbmo09181,box,1.5,1.3,snbmo09,16,0.4
0,bs12_brick-f896,gpt3-babbage,bs12120,brick,1.0,1.0,bs12,18,0.4
0,betal18_rope-49a9,gpt3-babbage,betal182073,rope,2.1,1.9,betal18,15,0.4
0,motesf_toothbrush-e5b9,gpt3-babbage,motesf6883,toothbrush,2.7,2.4,motesf,17,0.4
0,bs12_brick-b34d,gpt3-babbage,bs1274,brick,3.0,2.2,bs12,27,0.4
0,snbmo09_box-a04f,gpt3-babbage,snbmo0961,box,1.5,1.3,snbmo09,15,0.4
0,dod20_book-61b2,gpt3-babbage,dod2087,book,2.7,3.0,dod20,19,0.4
0,snb17_box-3b66,gpt3-babbage,snb17103,box,2.3,2.0,snb17,36,0.4
0,motesf_pencil-905c,gpt3-babbage,motesf0777,pencil,2.7,3.0,motesf,27,0.4
0,dod20_book-2849,gpt3-babbage,dod2055,book,2.5,2.5,dod20,14,0.4
0,hmsl_paperclip-0d4d,gpt3-babbage,hmslzLKWIxYM,paperclip,2.6,2.0,hmsl,14,0.4
0,setal08_brick-10f0,gpt3-babbage,setal08141,brick,2.7,2.2,setal08,26,0.4
0,hmsl_paperclip-0a20,gpt3-babbage,hmslhj8bSQrN,paperclip,3.8,3.0,hmsl,18,0.4
0,motesp-g1_ball-27CA,gpt3-babbage,27CA,ball,2.8,3.3,motesp,22,0.4
0,motesf_hat-ebfc,gpt3-babbage,motesff457,hat,3.4,3.6,motesf,14,0.4
0,dod20_tire-e7db,gpt3-babbage,dod2062,tire,2.5,2.5,dod20,19,0.4
0,hmsl_paperclip-dcbf,gpt3-babbage,hmslRF5YP927,paperclip,2.0,2.0,hmsl,17,0.4
0,setal08_knife-f379,gpt3-babbage,setal0873,knife,1.3,1.0,setal08,15,0.4
0,hmsl_brick-9121,gpt3-babbage,hmsla86AOJNG,brick,1.7000000000000002,1.4,hmsl,15,0.4
